id,icao24,callsign,estDepartureAirport,estArrivalAirport,firstSeen,lastSeen,flight_duration_minutes,total_distance_km,airport_pair,firstSeen_time,lastSeen_time
36581,76b441,SIA142  ,WSSS,WMPA,1741173418,1741176035,43.61666666666667,3.907,WSSS-WMPA,2025-03-05 11:16:58,2025-03-05 12:00:35
36565,4d236b,RYR7ZA  ,LIME,,1741171885,1741175970,68.08333333333333,2.313,,2025-03-05 10:51:25,2025-03-05 11:59:30
36583,780650,CES9636 ,VTBS,,1741146527,1741175968,490.68333333333334,1.352,,2025-03-05 03:48:47,2025-03-05 11:59:28
36515,407fa0,FLJ64G  ,LFBZ,EIDW,1741170040,1741175968,98.8,6.044,LFBZ-EIDW,2025-03-05 10:20:40,2025-03-05 11:59:28
36566,502cd0,BTI420  ,EVRA,,1741168906,1741175952,117.43333333333334,2.4,,2025-03-05 10:01:46,2025-03-05 11:59:12
36499,3c666b,DLH3WU  ,EDDF,EDDH,1741173274,1741175949,44.583333333333336,2.103,EDDF-EDDH,2025-03-05 11:14:34,2025-03-05 11:59:09
36605,845ebc,ADO121  ,,RJCC,1741171271,1741175915,77.4,26.633,,2025-03-05 10:41:11,2025-03-05 11:58:35
36647,e49f5a,AZU2715 ,SNGN,,1741174597,1741175904,21.783333333333335,34.985,,2025-03-05 11:36:37,2025-03-05 11:58:24
36559,4d21fc,RYR3151 ,LIPX,,1741173370,1741175860,41.5,5.193,,2025-03-05 11:16:10,2025-03-05 11:57:40
36594,80148f,IGO702F ,,,1741168494,1741175855,122.68333333333334,0.0,,2025-03-05 09:54:54,2025-03-05 11:57:35
36588,8004a7,AIC655  ,VABB,,1741174329,1741175853,25.4,0.922,,2025-03-05 11:32:09,2025-03-05 11:57:33
36508,400fdb,EZY48ZE ,LKPR,EGGW,1741170310,1741175819,91.81666666666666,2.496,LKPR-EGGW,2025-03-05 10:25:10,2025-03-05 11:56:59
36528,47808e,WIF5UT  ,ENBO,ENBO,1741175512,1741175818,5.1,25.046,ENBO-ENBO,2025-03-05 11:51:52,2025-03-05 11:56:58
36526,46d276,SEH2JT  ,,LGPA,1741175035,1741175811,12.933333333333334,19.503,,2025-03-05 11:43:55,2025-03-05 11:56:51
36620,8840fa,BKP806  ,VHHH,,1741166266,1741175749,158.05,0.72,,2025-03-05 09:17:46,2025-03-05 11:55:49
36613,880845,AIQ3394 ,VTBD,,1741173578,1741175720,35.7,2.368,,2025-03-05 11:19:38,2025-03-05 11:55:20
36527,470bc8,FCA3MA  ,LFPB,LSZS,1741172114,1741175715,60.016666666666666,29.16,LFPB-LSZS,2025-03-05 10:55:14,2025-03-05 11:55:15
36611,88044f,AIQ4352 ,VTBS,,1741173947,1741175702,29.25,2.296,,2025-03-05 11:25:47,2025-03-05 11:55:02
36600,80160d,AXB2723 ,VOBL,,1741168018,1741175643,127.08333333333333,25.273,,2025-03-05 09:46:58,2025-03-05 11:54:03
36483,0d0b3f,VIV187  ,KORD,MMJC,1741162522,1741175626,218.4,12.838,KORD-MMJC,2025-03-05 08:15:22,2025-03-05 11:53:46
36513,40792e,BAW949L ,EDDM,EGLL,1741169611,1741175625,100.23333333333333,3.973,EDDM-EGLL,2025-03-05 10:13:31,2025-03-05 11:53:45
